Identifier,Deprecated,Value_SOH,Value_English,Value_Welsh,Value_Gaelic,Comments
LNGG_LAO,,Lao,Lao,,,ISO639-2
LNGG_LAT,,,Latin,,,ISO639-2
LNGG_LAV,,Latvian,Latvian,,,ISO639-2
LNGG_LEZ,,,Lezghian,,,ISO639-2
LNGG_LIM,,,Limburgan; Limburger; Limburgish,,,ISO639-2
LNGG_LIN,,,Lingala,,,ISO639-2
LNGG_LIT,,Lithuanian,Lithuanian,,,ISO639-2
LNGG_LOL,,,Mongo,,,ISO639-2
LNGG_LOZ,,,Lozi,,,ISO639-2
LNGG_LTZ,,Luxembourgish,Luxembourgish; Letzeburgesch,,,ISO639-2
LNGG_LUA,,,Luba-Lulua,,,ISO639-2
LNGG_LUB,,,Luba-Katanga,,,ISO639-2
LNGG_LUG,,,Ganda,,,ISO639-2
LNGG_LUI,,,Luiseno,,,ISO639-2
LNGG_LUN,,,Lunda,,,ISO639-2
LNGG_LUO,,,Luo (Kenya and Tanzania),,,ISO639-2
LNGG_LUS,,,Lushai,,,ISO639-2
LNGG_MAD,,Madurese,Madurese,,,ISO639-2
LNGG_MAG,,Magahi,Magahi,,,ISO639-2
LNGG_MAH,,Marshallese,Marshallese,,,ISO639-2
LNGG_MAI,,Maithili,Maithili,,,ISO639-2
LNGG_MAK,,,Makasar,,,ISO639-2
LNGG_MAL,,Malayalam,Malayalam,,,ISO639-2
LNGG_MAN,,,Mandingo,,,ISO639-2
LNGG_MAP,,,Austronesian languages,,,ISO639-2
LNGG_MAR,,Marathi,Marathi,,,ISO639-2
LNGG_MAS,,,Masai,,,ISO639-2
LNGG_MDF,,,Moksha,,,ISO639-2
LNGG_MDR,,,Mandar,,,ISO639-2
LNGG_MEN,,,Mende,,,ISO639-2
LNGG_MGA,,,"Irish, Middle (900–1200)",,,ISO639-2
LNGG_MIC,,,Mi'kmaq; Micmac,,,ISO639-2
LNGG_MIN,,,Minangkabau,,,ISO639-2
LNGG_MKD,,Macedonian,Macedonian,,,ISO639-2
LNGG_MKH,,,Mon-Khmer languages,,,ISO639-2
LNGG_MLG,,Malagasy,Malagasy,,,ISO639-2
LNGG_MLT,,Maltese,Maltese,,,ISO639-2
LNGG_MNC,,,Manchu,,,ISO639-2
LNGG_MNI,,,Manipuri,,,ISO639-2
LNGG_MNO,,,Manobo languages,,,ISO639-2
LNGG_MOH,,,Mohawk,,,ISO639-2
LNGG_MON,,Mongolian,Mongolian,,,ISO639-2
LNGG_MOS,,Mossi,Mossi,,,ISO639-2
LNGG_MRI,,Maori,Māori,,,ISO639-2
LNGG_MSA,,Malay,Malay,,,ISO639-2
LNGG_MUL,,,Multiple languages,,,ISO639-2
LNGG_MUN,,,Munda languages,,,ISO639-2
LNGG_MUS,,,Creek,,,ISO639-2
LNGG_MWL,,,Mirandese,,,ISO639-2
LNGG_MWR,,Marwari,Marwari,,,ISO639-2
LNGG_MYA,,Burmese,Burmese,,,ISO639-2
LNGG_MYN,,,Mayan languages,,,ISO639-2
LNGG_MYV,,,Erzya,,,ISO639-2
LNGG_NAH,,,Nahuatl languages,,,ISO639-2
LNGG_NAI,,,North American Indian languages,,,ISO639-2
LNGG_NAP,,Neopolitan,Neapolitan,,,ISO639-2
LNGG_NAU,,Nauruan,Nauru,,,ISO639-2
LNGG_NAV,,,Navajo; Navaho,,,ISO639-2
LNGG_NBL,,,"Ndebele, South; South Ndebele",,,ISO639-2
LNGG_NDE,,,"Ndebele, North; North Ndebele",,,ISO639-2
LNGG_NDO,,,Ndonga,,,ISO639-2
LNGG_NDS,,,"Low German; Low Saxon; German, Low; Saxon, Low",,,ISO639-2
LNGG_NEP,,Nepali,Nepali,,,ISO639-2
LNGG_NEW,,,Nepal Bhasa; Newari,,,ISO639-2
LNGG_NIA,,,Nias,,,ISO639-2
LNGG_NIC,,,Niger-Kordofanian languages,,,ISO639-2
LNGG_NIU,,Niuean,Niuean,,,ISO639-2
LNGG_NLD,,Dutch,Dutch; Flemish,,,ISO639-2
LNGG_NNO,,,"Norwegian Nynorsk; Nynorsk, Norwegian",,,ISO639-2
LNGG_NOB,,,"Bokmål, Norwegian; Norwegian Bokmål",,,ISO639-2
LNGG_NOG,,,Nogai,,,ISO639-2
LNGG_NON,,,"Norse, Old",,,ISO639-2
LNGG_NOR,,Norwegian,Norwegian,,,ISO639-2
LNGG_NQO,,,N'Ko,,,ISO639-2
LNGG_NSO,,,Pedi; Sepedi; Northern Sotho,,,ISO639-2
LNGG_NUB,,,Nubian languages,,,ISO639-2
LNGG_NWC,,,Classical Newari; Old Newari; Classical Nepal Bhasa,,,ISO639-2
LNGG_NYA,,"Chewa,Chichewa",Chichewa; Chewa; Nyanja,,,ISO639-2
LNGG_NYM,,,Nyamwezi,,,ISO639-2
LNGG_NYN,,,Nyankole,,,ISO639-2
LNGG_NYO,,,Nyoro,,,ISO639-2
LNGG_NZI,,,Nzima,,,ISO639-2
LNGG_OCI,,,Occitan (post 1500),,,ISO639-2
LNGG_OJI,,,Ojibwa,,,ISO639-2
LNGG_ORI,,Odia (Oriya),Oriya,,,ISO639-2
LNGG_ORM,,Oromo,Oromo,,,ISO639-2
LNGG_OSA,,,Osage,,,ISO639-2
LNGG_OSS,,,Ossetian; Ossetic,,,ISO639-2
LNGG_OTA,,,"Turkish, Ottoman (1500–1928)",,,ISO639-2
LNGG_OTO,,,Otomian languages,,,ISO639-2
LNGG_PAA,,,Papuan languages,,,ISO639-2
